stop_name,entries,services_per_day
Narre Warren Railway Station,522200.0,1797.0
Nunawading Railway Station,758050.0,2466.0
North Williamstown Railway Station,271600.0,1730.0
Oakleigh Railway Station,1624200.0,3674.0
Officer Railway Station,208600.0,1797.0
Oak Park Railway Station,418000.0,1780.0
Ormond Railway Station,539450.0,2675.0
Parliament Railway Station,6344650.0,6748.0
Patterson Railway Station,287550.0,2675.0
Parkdale Railway Station,268050.0,2633.0
Pakenham Railway Station,495750.0,1797.0
Parkville Railway Station,0.0,3433.0
Prahran Railway Station,879500.0,1975.0
Preston Railway Station,581250.0,1841.0
Pascoe Vale Railway Station,538950.0,1780.0
Flemington Racecourse Railway Station,145550.0,0.0
Regent Railway Station,382700.0,1787.0
Reservoir Railway Station,757800.0,1841.0
Ripponlea Railway Station,465900.0,1975.0
Riversdale Railway Station,144000.0,1549.0
Richmond Railway Station,3712750.0,9518.0
Rosanna Railway Station,432900.0,1796.0
Royal Park Railway Station,291800.0,1486.0
Rushall Railway Station,123150.0,1787.0
Ruthven Railway Station,289350.0,1793.0
Ringwood Railway Station,1514250.0,3084.0
Ringwood East Railway Station,268800.0,1445.0
Roxburgh Park Railway Station,498650.0,1755.0
St Albans Railway Station (St Albans),0.0,2878.0
Seaford Railway Station,320500.0,2550.0
Seddon Railway Station,416600.0,2565.0
Showgrounds Railway Station,114900.0,0.0
Seaholme Railway Station,93100.0,992.0
Sandringham Railway Station,710850.0,1963.0
South Kensington Railway Station,324400.0,2565.0
Strathmore Railway Station,303300.0,1780.0
South Morang Railway Station,569650.0,1796.0
Sandown Park Railway Station,458700.0,3575.0
Southland Railway Station,479000.0,2619.0
Springvale Railway Station,1429400.0,3575.0
Spotswood Railway Station,354600.0,2565.0
Southern Cross Railway Station,14696050.0,10044.0
State Library Railway Station,0.0,3433.0
Stony Point Railway Station,6950.0,0.0
Sunshine Railway Station,1577600.0,2880.0
Sunbury Railway Station,691050.0,1820.0
Somerville Railway Station,8050.0,0.0
Syndal Railway Station,698100.0,1363.0
South Yarra Railway Station,3199050.0,4937.0
Tyabb Railway Station,4050.0,0.0
Thornbury Railway Station,376150.0,1787.0
Tecoma Railway Station,47250.0,1428.0
Tooronga Railway Station,453150.0,1348.0
Town Hall Railway Station,0.0,7060.0
Toorak Railway Station,417900.0,2681.0
Tottenham Railway Station,394350.0,2711.0
Thomastown Railway Station,595700.0,1811.0
Upfield Railway Station,264250.0,1470.0
Upper Ferntree Gully Railway Station,180450.0,1458.0
Union Railway Station ,593100.0,2273.0
Upwey Railway Station,97850.0,1428.0
Victoria Park Railway Station,659700.0,3604.0
Watsonia Railway Station,315600.0,1719.0
Williamstown Beach Railway Station,166350.0,1730.0
Werribee Railway Station,1049600.0,1091.0
West Footscray Railway Station,512550.0,3574.0
Watergardens Railway Station,1295450.0,2878.0
Williamstown Railway Station,149500.0,1730.0
Windsor Railway Station,586800.0,1975.0
Williams Landing Railway Station,1389550.0,1091.0
West Richmond Railway Station,407750.0,3442.0
Willison Railway Station,73100.0,1537.0
Westgarth Railway Station,201950.0,1694.0
Westall Railway Station,634250.0,3674.0
Westona Railway Station,229400.0,992.0
Wattle Glen Railway Station,27200.0,921.0
Yarraman Railway Station,272450.0,3417.0
Yarraville Railway Station,820600.0,2565.0
