Line,Hour,trips
Sandringham,14,1302
Sandringham,15,1465
Sandringham,16,1697
Sandringham,17,1879
Sandringham,18,1713
Sandringham,19,1385
Sandringham,20,1261
Sandringham,21,1258
Sandringham,22,1334
Sandringham,23,1299
Sunbury,0,1084
Sunbury,1,340
Sunbury,2,182
Sunbury,3,184
Sunbury,4,502
Sunbury,5,1218
Sunbury,6,1562
Sunbury,7,2753
Sunbury,8,3379
Sunbury,9,2734
Sunbury,10,2399
Sunbury,11,2340
Sunbury,12,2340
Sunbury,13,2340
Sunbury,14,2340
Sunbury,15,2406
Sunbury,16,3242
Sunbury,17,3240
Sunbury,18,3213
Sunbury,19,2298
Sunbury,20,2114
Sunbury,21,1964
Sunbury,22,1910
Sunbury,23,1967
Upfield,0,638
Upfield,1,301
Upfield,2,210
Upfield,3,210
Upfield,4,326
Upfield,5,897
Upfield,6,1147
Upfield,7,1305
Upfield,8,1329
Upfield,9,1266
Upfield,10,1329
Upfield,11,1326
Upfield,12,1335
Upfield,13,1356
Upfield,14,1327
Upfield,15,1316
Upfield,16,1352
Upfield,17,1460
Upfield,18,1389
Upfield,19,1162
Upfield,20,889
Upfield,21,960
Upfield,22,1044
Upfield,23,1074
Werribee,0,526
Werribee,1,213
Werribee,2,128
Werribee,3,131
Werribee,4,240
Werribee,5,800
Werribee,6,961
Werribee,7,1137
Werribee,8,1269
Werribee,9,1235
Werribee,10,1265
Werribee,11,1225
Werribee,12,1176
Werribee,13,1188
Werribee,14,1182
Werribee,15,1214
Werribee,16,1357
Werribee,17,1278
Werribee,18,1302
Werribee,19,1093
Werribee,20,962
Werribee,21,870
Werribee,22,918
Werribee,23,899
Williamstown,0,491
Williamstown,1,138
Williamstown,2,104
Williamstown,3,103
Williamstown,4,144
Williamstown,5,720
Williamstown,6,846
Williamstown,7,851
Williamstown,8,930
Williamstown,9,873
Williamstown,10,840
Williamstown,11,1002
Williamstown,12,1044
Williamstown,13,1044
Williamstown,14,1044
Williamstown,15,1052
Williamstown,16,1204
Williamstown,17,1260
Williamstown,18,1258
Williamstown,19,1097
Williamstown,20,770
Williamstown,21,634
Williamstown,22,660
Williamstown,23,661
